"Title","URL","image URL","image2 URL","Price1","Price2","Price3","desc1","desc2","desc3","Item ID","Type","Brand","Price level","Tag ID","Gender","online Date","offline Date","Stock","Status"
"宝氏 蓝莓早餐麦片","http://www.fieldschina.com/zh/item-1011.html","http://www.fieldschina.com/image/product/201102/51fbe6e1687b2783639.jpg","","48","42","0","个大多汁的蓝莓，甜杏仁，多谷物麦片和松脆的燕麦片，使这款宝氏精选早餐麦片变得非常可口。 它富含九种基本维他命和矿物质，不含胆固醇，低脂，每份含11克全谷麦，营养丰富。
","","","1011","谷物早餐","谷物早餐","","","","","","50000","1"
"宝氏 蔓越莓桃仁麦片","http://www.fieldschina.com/zh/item-1012.html","http://www.fieldschina.com/image/product/201102/51fbe6e1705ab647902.jpg","","48","48","0","受蔓越莓扁桃仁松饼的启发，这款宝氏麦片结合美国优鲜沛公司蔓越莓的甘甜以及松脆的扁桃仁，同时包括大片全谷物麦片。配料表：蔓越莓,白砂糖,大米,小麦粉,碾压燕麦,焦糖,小麦,扁桃仁,植物油,大米粉,发芽玉米和大麦糖浆,玉米糖浆,焦糖色,食盐,食用香料,维生素和矿物质,烟铣胺,还原铁,氧化锌,维生素B6,A,B2,叶酸,B12,D
","","","1012","谷物早餐","谷物早餐","","","","","","50000","1"
"宝氏香蕉麦片","http://www.fieldschina.com/zh/item-1015.html","http://www.fieldschina.com/image/product/201102/51fbe6e178403825044.jpg","","48","48","0","这款宝氏早餐麦片的美味源自真正烘培过的香蕉片的芳香。每份坚果，全谷物和香蕉，提供了40克全谷物 (每天建议摄取全谷物的含量的83%）， 4克纤维，13种基本维他命和矿物质。
","","","1015","谷物早餐","谷物早餐","","","","","","50000","1"
"宝氏 大麦麦片（葡萄干, 红枣，山核桃）","http://www.fieldschina.com/zh/item-1016.html","http://www.fieldschina.com/image/product/201102/51fbe6e17ffec341859.jpg","","48","48","0","大麦麦片是宝氏最天然的谷类食品。使用多种配方制作，比如，从真正去麸小麦粒获取全谷物麦片（而不是把小麦磨成面粉，然后压成麦片）。坚持全谷物意味着营养价值更高。提子，红枣和山核桃增添了天然，营养价值较高的提子，红枣，山核桃，全谷物麦片，松脆的多谷物麦片，从而打造出一份真正健康的早餐谷物食品。
","","","1016","谷物早餐","谷物早餐","","","","","","50000","1"
"地扪 玉米粒","http://www.fieldschina.com/zh/item-1028.html","http://www.fieldschina.com/image/product/201102/51fbe6e19f5b7109755.jpg","","12","12","0","已经厌倦了糊状的中国玉米了吗？德尔蒙特牌松脆全粒玉米片则是绝好的替代物。 它们来自于现切的甘甜金黄玉米，相比冷冻玉米，它的口感自然更为醇美， 不需要额外准备工序，只需加少许黄油，盐，辣椒，微波炉里加热一到两分钟后，一道吸引众人目光的配菜便新鲜出炉了。
","","","1028","罐装食品","罐装食品","","","","","","50000","1"
"塔巴斯科 辣椒沙司","http://www.fieldschina.com/zh/item-1036.html","http://www.fieldschina.com/image/product/201102/51fbe6e1bf740823658.jpg","","16","16","0","来自于路易斯安那州的艾佛利岛，塔巴斯科辣椒沙司是美国的代表性产品。 仅用三种配料制成-成熟的红辣椒，艾佛利岛的盐和高质蒸馏醋-每个曾经拿起这瓶辣椒沙司的人，都会为这道简单的菜谱所着迷。不管是加几滴到披萨饼，鸡蛋，海鲜，意大利通心粉，中国食物，或西方食物里…只要您喜欢它的辣味，几乎没有什么是塔巴斯科不能实现的。
","","","1036","调味品和酱料","调味品和酱料","","","","","","50000","1"
"冠利 红酒醋","http://www.fieldschina.com/zh/item-1038.html","http://www.fieldschina.com/image/product/201102/51fbe6e1cf026144874.jpg","","30","30","0","冠利红酒醋是是一种优质的用最精良的意大利红酒制成的特制醋。经过16个月的酿制成熟后这种红酒醋味道非常强烈，并且带有辛辣味。它是制作酱油，黑肉和沙拉的最佳选择。
","","","1038","醋和调味料","醋和调味料","","","","","","50000","1"
"恩波露 酸奶油","http://www.fieldschina.com/zh/item-1044.html","http://www.fieldschina.com/image/product/201406/1404127803971060.jpg","","35","35","0","恩波露 是受新西兰专家监督的一家当地奶制品公司。采用当地新鲜奶源牛奶制作酸奶油。天然发酵12个小时以上，口感温和，低脂（25%脂肪含量）。
","","","1044","奶油和黄油","奶油和黄油","","","","","","50000","1"
"朝日 唯品纯鲜奶","http://www.fieldschina.com/zh/item-106.html","http://www.fieldschina.com/image/product/201405/1400246186575206.jpg","","26","26","0","朝日绿源的「唯品」牛奶，是只使用朝日绿源单一农场挤出的新鲜原奶制成的牛奶。由于无成分调整及UHT杀菌法有效的保持了原奶的本来风味，有天然清淡的味道。牛奶里均衡的含有优质蛋白质和钙，维生素A和B2等丰富的营养成分。冷藏保存，启封后保存期内请尽快饮用。
","","","106","牛奶","牛奶","","","","","","50000","1"
"泰国 KOH纯椰子汁","http://www.fieldschina.com/zh/item-1082.html","http://www.fieldschina.com/image/product/201403/1394721330652171.jpg","","27","27","0","KOH椰汁是用通过可持续方法收获的椰子制成，是最天然的健康饮料之一。汁清如水，且相当清甜、晶莹透亮，清凉解渴。内含两汤匙糖，以及蛋白质、脂肪、维生素C及钙、磷、铁、钾、镁、钠等矿物质，是营养极为丰富的饮料。另外椰子汁清如水、甜如蜜，晶莹透亮，是极好的清凉解渴之品。椰汁和椰肉都含有丰富的营养素。椰汁清如水甜如蜜，饮之甘甜可口。在炎热的夏季，椰汁有很好的清凉消暑、生津止渴的功效。椰汁还有强心、利尿、驱虫、止呕止泻的功效。
","","","1082","新鲜果汁","新鲜果汁","","","","","","50000","1"
